VenueName,VenueLatitude,VenueLongitude,VenueCategory
T & T Kitchen Utensil Supplies,5.3324743,100.2915503,Kitchen Supply Store
Pots Kitchenware Sdn. Bhd.,5.4173901,100.3301359,Kitchen Supply Store
Kitchen Shop Gurney Plaza,5.4376413,100.3073533,Kitchen Supply Store
F & B Equipment Sdn. Bhd.,5.4043593,100.3311903,Kitchen Supply Store
F & B Equipment Sdn. Bhd.,5.3267612,100.2805523,Kitchen Supply Store
Chefutensile (M) Sdn. Bhd.,5.327746,100.4534493,Kitchen Supply Store
Katrin BJ,5.4384533,100.3074562,Kitchen Supply Store
La Gourmet,5.4375293,100.3067193,Kitchen Supply Store
Cooking Island,5.4404003,100.3051132,Kitchen Supply Store
Ohl Kitchen Ware,5.4301102,100.3100388,Kitchen Supply Store
Hotel & Restaurant Catering,5.4166423,100.3213362,Kitchen Supply Store
The Kitchen Shop,5.431583,100.3123369,Kitchen Supply Store
C & I Marketing,5.4167032,100.3235522,Kitchen Supply Store
Keng Fatt Sdn. Bhd.,5.4150876,100.3352379,Kitchen Supply Store
Hotreca,5.4184353,100.3388742,Kitchen Supply Store
Baking FRenzy Cooking Supplies,5.4118362,100.3212601,Kitchen Supply Store
Eunikem Trading,5.4084663,100.3690743,Kitchen Supply Store
Yea Lian Enterprise,5.3997274,100.3699162,Kitchen Supply Store
Buffalo Everpro,5.4317112,100.3811352,Kitchen Supply Store
My Homelife (Raja Uda),5.4169459,100.3774388,Kitchen Supply Store
My Homelife (Jalan Perak),5.3952493,100.312709,Kitchen Supply Store
My Homelife (Krystal Point),5.3320583,100.2940633,Kitchen Supply Store
Kabanaz Enterprise (Butterworth),5.4283053,100.3848113,Kitchen Supply Store
Guan Lee,5.3639507,100.4605151,Kitchen Supply Store
Gwek Enterprise,5.4121742,100.3703373,Kitchen Supply Store
Asahi Kitchen Equipment Sdn. Bhd.,5.4001376,100.3067432,Kitchen Supply Store
BigSpoon Kitchenware,5.3012593,100.4551083,Kitchen Supply Store
Sim Company,5.4144767,100.3316442,Kitchen Supply Store
Modern Kitchenware,5.3524983,100.4684543,Kitchen Supply Store
Giant Supermarket Penang Plaza,5.4217559,100.325444,Department Store
Giant Hypermarket,5.320638,100.2836098,Department Store
Tesco Extra Sungai Dua,5.351368,100.2940645,Department Store
Tesco Extra Seberang Jaya,5.4058758,100.4044577,Department Store
Tesco Bagan Ajam,5.4390017,100.3816342,Department Store
Tesco Seri Tanjung Pinang,5.4589425,100.3065598,Department Store
Tesco Hypermarket Jelutong,5.3775384,100.3127175,Department Store
Tesco Hypermarket Alma,5.3164354,100.4750549,Department Store
Tesco Bertam,5.5168895,100.4431837,Department Store
Sunshine Square,5.3256544,100.2865242,Department Store
Sunshine Jelutong,5.3946204,100.3130416,Department Store
Sunshine Farlim Shopping Mall,5.3958547,100.2840331,Department Store
Sunshine Lip Sin,5.3371041,100.2958046,Department Store
Cold Storage Gurney Plaza,5.4370158,100.3066101,Department Store
Cold Storage Island Plaza,5.4268608,100.3288034,Department Store
Mydin Georgetown,5.4187836,100.3310061,Department Store
Mydin Bukit Jambul,5.3343626,100.2909708,Department Store
Mydin Bukit Mertajam,5.3682623,100.4145811,Department Store
Econsave Ayer Hitam,5.3858678,100.2759622,Department Store
Econsave Butterworth,5.3990305,100.3763332,Department Store
Econsave Raja Uda,5.4311494,100.3868007,Department Store
AEON Queensbay,5.3321429,100.3051841,Department Store
AEON BiG PENANG PRAI,5.3881496,100.4107418,Department Store
AEON Alma,5.3195843,100.4770199,Department Store
Aeon Big Bukit Minyak,5.3283557,100.4457399,Department Store
Parkson Plaza Gurney,5.4391436,100.3051877,Department Store
Parkson ,5.4121543,100.3311959,Department Store
Parkson Sunway Carnival Mall,5.3985902,100.3979649,Department Store
