Neighborhood,Latitude,Longitude
Air Itam,5.4018648,100.2778327
Balik Pulau,5.3482059,100.2274047
Batu Ferringhi,5.4682573,100.2503291
Batu Kawan,5.2625962,100.4304555
Batu Lanchang,5.3833333,100.3
Bayan Baru,5.3228416,100.2890394
Bayan Lepas,5.2953847,100.2857548
Bukit Mertajam,5.3663396,100.447698029297
Butterworth,5.3935211,100.366264819942
Gelugor,5.3675141,100.3121321
George Town,5.4145681,100.3298035
Jelutong,5.3869071,100.3120903
Kepala Batas,5.5146783,100.4284639
Nibong Tebal,5.1700963,100.4785191
Paya Terubong,5.3718034,100.276162
Perai,5.3777664,100.3819635
Permatang Pauh,5.4104982,100.4136507
Pulau Tikus,5.4318216,100.3117683
Simpang Ampat,5.2817072,100.4765976
Sungai Jawi,5.2511123,100.4520518
Tanjung Bungah,5.4574693,100.2870022
Tanjung Tokong,5.4461393,100.3052541
Tasek Gelugor,5.4832292,100.4904761
Teluk Bahang,5.457804,100.2147715
Teluk Kumbar,5.2897572,100.23151
